placering,hold,sæson
1,agf,25/26
2,fcm,25/26
3,fcn,25/26
4,brøndby,25/26
5,viborg,25/26
6,sønderjyske,25/26
7,fck,25/26
8,ob,25/26
9,silkeborg,25/26
10,randers,25/26
11,fredericia,25/26
12,vejle,25/26
1,brøndby,20/21
2,fcm,20/21
3,fck,20/21
4,agf,20/21
5,fcn,20/21
6,randers,20/21
7,aab,20/21
8,sønderjyske,20/21
9,ob,20/21
10,vejle,20/21
11,lyngby,20/21
12,horsens,20/21
1,fck,15/16
2,sønderjyske,15/16
3,fcm,15/16
4,brøndby,15/16
5,aab,15/16
6,randers,15/16
7,ob,15/16
8,viborg,15/16
9,fcn,15/16
10,agf,15/16
11,esbjerg,15/16
12,hobro,15/16
1,fck,10/11
2,ob,10/11
3,brøndby,10/11
4,fcm,10/11
5,silkeborg,10/11
6,fcn,10/11
7,sønderjyske,10/11
8,lyngby,10/11
9,horsens,10/11
10,aab,10/11
11,randers,10/11
12,esbjerg,10/11
1,fck,05/06
2,brøndby,05/06
3,ob,05/06
4,viborg,05/06
5,aab,05/06
6,esbjerg,05/06
7,fcm,05/06
8,silkeborg,05/06
9,fcn,05/06
10,horsens,05/06
11,sønderjyske,05/06
12,agf,05/06
1,fck,00/01
2,brøndby,00/01
3,silkeborg,00/01
4,fcm,00/01
5,aab,00/01
6,viborg,00/01
7,ob,00/01
8,agf,00/01
9,lyngby,00/01
10,akademisk_bk,00/01
11,herfølge,00/01
12,sønderjyske,00/01
1,fck,95/96
2,aab,95/96
3,brøndby,95/96
4,ob,95/96
5,næstved,95/96
6,lyngby,95/96
7,agf,95/96
8,silkeborg,95/96
9,herfølge,95/96
10,vejle,95/96
11,viborg,95/96
12,ikast,95/96
1,brøndby,90/91
2,lyngby,90/91
3,agf,90/91
4,bk_frem,90/91
5,aab,90/91
6,b1903,90/91
7,vejle,90/91
8,ob,90/91
9,silkeborg,90/91
10,ikast,90/91
